overall,team_x,name,position_x,school,id,position_y,team_y
84,Los Angeles Chargers,Justin Jones,DT,NC State,18643.0,[u'DT'],LAC
85,Carolina Panthers,Rashaan Gaulden,CB,Tennessee,18644.0,[u'S'],Car
86,Baltimore Ravens,Mark Andrews,TE,Oklahoma,18645.0,[u'TE'],Bal
87,Oakland Raiders,Arden Key,DE,LSU,18646.0,"[u'DE', u'EDR']",Oak
88,Green Bay Packers,Oren Burks,LB,Vanderbilt,18647.0,[u'LB'],GB
90,Atlanta Falcons,Deadrin Senat,DT,South Florida,18649.0,[u'DT'],Atl
91,New Orleans Saints,Tre'Quan Smith,WR,UCF,18650.0,[u'WR'],NO
93,Jacksonville Jaguars,Ronnie Harrison,S,Alabama,18652.0,[u'S'],Jax
95,San Francisco 49ers,Tarvarius Moore,S,Southern Miss,18654.0,[u'CB'],SF
96,Buffalo Bills,Harrison Phillips,DT,Stanford,18655.0,[u'DT'],Buf
98,Houston Texans,Jordan Akins,TE,UCF,18657.0,[u'TE'],Hou
99,Denver Broncos,Isaac Yiadom,CB,Boston College,18658.0,[u'CB'],Den
100,Kansas City Chiefs,Dorian O'Daniel,LB,Clemson,18659.0,[u'LB'],KC
101,Carolina Panthers,Ian Thomas,TE,Indiana,18660.0,[u'TE'],Car
102,Minnesota Vikings,Jalyn Holmes,DE,Ohio State,18661.0,[u'DT'],Min
103,Houston Texans,Keke Coutee,WR,Texas Tech,18662.0,[u'WR'],Hou
104,Indianapolis Colts,Nyheim Hines,RB,NC State,18663.0,[u'RB'],Ind
105,Cleveland Browns,Antonio Callaway,WR,Florida,18664.0,[u'WR'],Cle
106,Denver Broncos,Josey Jewell,LB,Iowa,18665.0,[u'LB'],Den
107,New York Jets,Chris Herndon,TE,Miami (FL),18666.0,[u'TE'],NYJ
108,New York Giants,Kyle Lauletta,QB,Richmond,18667.0,[u'QB'],NYG
109,Washington Redskins,Troy Apke,S,Penn State,18668.0,[u'S'],Wsh
110,Oakland Raiders,Nick Nelson,CB,Wisconsin,18669.0,[u'CB'],Oak
112,Cincinnati Bengals,Mark Walton,RB,Miami (FL),18671.0,[u'RB'],Cin
113,Denver Broncos,DaeSean Hamilton,WR,Penn State,18672.0,[u'WR'],Den
114,Detroit Lions,Da'Shawn Hand,DE,Alabama,18673.0,"[u'DE', u'EDR']",Det
