id,name,position,team
14914,Brian Quick,[u'WR'],Wsh
11364,Gary Barnidge,[u'TE'],Cle
17138,Damien Williams,[u'RB'],Mia
17761,Seth Roberts,[u'WR'],Oak
13980,Patrick Peterson,[u'CB'],Ari
16791,Donte Moncrief,[u'WR'],Ind
11366,Orlando Scandrick,[u'CB'],Dal
13587,Chris Ivory,[u'RB'],Jax
17504,Jake Ryan,[u'LB'],GB
17778,Joe Thomas,[u'LB'],GB
17846,James Bradberry,[u'CB'],Car
11245,Leodis McKelvin,[u'CB'],Phi
11363,Brandon Carr,[u'CB'],Bal
16719,Bradley Roby,[u'CB'],Den
18085,Brian Poole,[u'CB'],Atl
9720,Kyle Williams,[u'DT'],Buf
13245,Jerry Hughes,"[u'DE', u'EDR']",Buf
14320,Mario Addison,"[u'DE', u'EDR']",Car
13987,Blaine Gabbert,[u'QB'],Ari
12699,Zach Miller,[u'TE'],Chi
11276,Eddie Royal,[u'WR'],Chi
14964,Derek Wolfe,[u'DE'],Den
14989,Trumaine Johnson,[u'CB'],LAR
16270,Rashaan Melvin,[u'CB'],Ind
16769,Lamarcus Joyner,"[u'CB', u'S']",LAR
17906,Kenneth Dixon,[u'RB'],Bal
17915,DeAndre Washington,[u'RB'],Oak
13229,Rob Gronkowski,[u'TE'],NE
15948,Matt Barkley,[u'QB'],SF
13254,Kareem Jackson,[u'CB'],Hou
14885,Doug Martin,[u'RB'],TB
16711,Anthony Barr,[u'LB'],Min
17577,Trae Waynes,[u'CB'],Min
9592,Vernon Davis,[u'TE'],Wsh
17840,Tyler Boyd,[u'WR'],Cin
13240,Gerald McCoy,[u'DT'],TB
13939,Andrew Sendejo,[u'S'],Min
13985,Muhammad Wilkerson,"[u'DE', u'EDR']",NYJ
15040,Nathan Stupar,[u'LB'],NO
17647,Adrian Amos,[u'S'],Chi
17800,Leonard Floyd,"[u'LB', u'EDR']",Chi
17903,Blake Martinez,[u'LB'],GB
11254,Aqib Talib,[u'CB'],Den
10613,William Gay,[u'CB'],Pit
17852,Yannick Ngakoue,"[u'DE', u'EDR']",Jax
15788,Tyler Eifert,[u'TE'],Cin
17562,Sammie Coates,[u'WR'],Pit
17214,Tre Boston,[u'S'],LAC
13249,Joe Haden,[u'CB'],Cle
17695,Matt Jones,[u'RB'],Wsh
11274,Tracy Porter,[u'CB'],Chi
13333,Nolan Carroll II,[u'CB'],Dal
15019,Jared Crick,[u'DT'],Den
15809,Eric Reid,[u'S'],SF
17674,Breshad Perriman,[u'WR'],Bal
11609,Wesley Woodyard,[u'LB'],Ten
14941,Fletcher Cox,[u'DT'],Phi
15880,Robert Woods,[u'WR'],LAR
15074,Danny Trevathan,[u'LB'],Chi
17881,Tavon Young,[u'CB'],Bal
14875,Robert Griffin III,[u'QB'],Cle
17384,Charcandrick West,[u'RB'],KC
18058,Alex Erickson,[u'WR'],Cin
14952,Andre Branch,"[u'DE', u'EDR']",Mia
17819,Emmanuel Ogbah,"[u'DE', u'EDR']",Cle
12579,Jeremy Maclin,[u'WR'],Bal
17987,Jalen Mills,[u'CB'],Phi
12760,Chris Baker,[u'DT'],TB
13248,Derrick Morgan,"[u'DE', u'EDR']",Ten
14933,Dont'a Hightower,[u'LB'],NE
16217,Nickell Robey-Coleman,[u'CB'],LAR
17158,Anthony Hitchens,[u'LB'],Dal
17230,E.J. Gaines,[u'CB'],Buf
17277,Corey Nelson,[u'LB'],Den
17688,Shaq Thompson,[u'LB'],Car
17808,Darron Lee,[u'LB'],NYJ
11674,Danny Amendola,[u'WR'],NE
15755,Fozzy Whittaker,[u'RB'],Car
17643,Phillip Dorsett,[u'WR'],Ind
17163,Allen Hurns,[u'WR'],Jax
13497,Willie Young,"[u'LB', u'EDR']",Chi
16729,Calvin Pryor,[u'S'],Cle
17559,Trey Flowers,"[u'DE', u'EDR']",NE
17950,Anthony Brown,[u'CB'],Dal
17918,Paul Perkins,[u'RB'],NYG
15457,Travaris Cadet,[u'RB'],NO
17888,Malcolm Mitchell,[u'WR'],NE
13344,Perrish Cox,[u'CB'],Ten
14047,Jurrell Casey,[u'DT'],Ten
14972,Sean Spence,[u'LB'],Ind
15859,Sio Moore,[u'LB'],Hou
17233,Nevin Lawson,[u'CB'],Det
17543,Clayton Geathers,[u'S'],Ind
17804,Karl Joseph,[u'S'],Oak
13553,Victor Cruz,[u'WR'],Chi
14940,Dre Kirkpatrick,[u'CB'],Cin
17856,Kenyan Drake,[u'RB'],Mia
17912,Tajae Sharpe,[u'WR'],Ten
17682,Devin Funchess,[u'WR'],Car
13251,Earl Thomas,[u'S'],Sea
13544,Rafael Bush,[u'S'],NO
15811,Sheldon Richardson,"[u'DE', u'EDR']",NYJ
17739,Thomas Rawls,[u'RB'],Sea
