end,id,name,owner,position,salary,start
2016,13213,LeGarrette Blount,Koci/Mueller,RB,12,2014
2018,17669,Leonard Williams,Trevor,DL,1,2016
2018,17865,Leonte Carroo,Quinn,WR,17,2016
2016,12514,LeSean McCoy,John/Zach,RB,200,2015
2016,13281,Linval Joseph,James,DL,1,FA
2018,15861,Logan Ryan,Trevor,DB,1,2016
2016,9424,Lorenzo Alexander,James,LB,1,FA
2016,14938,Luke Kuechly,John/Zach,LB,50,2016
2016,17742,Malcolm Brown,,RB,,FA
2017,12426,Malcolm Jenkins,Koci/Mueller,DB,1,2015
2018,17888,Malcolm Mitchell,Koci/Mueller,WR,9,2016
2016,14214,Malcolm Smith,,LB,,FA
2016,15867,Manti Te'o,,LB,,FA
2016,13992,Marcell Dareus,,DL,,FA
2016,15888,Marcus Cooper,,DB,,FA
2017,17610,Marcus Mariota,Trevor,QB,24,2015
2016,17486,Marcus Murphy,,RB,,FA
2018,17633,Marcus Peters,Trevor,DB,1,2016
2016,9587,Mario Williams,,DL,,FA
2016,14932,Mark Barron,Quinn,LB,2,2016
2018,13981,Mark Ingram,James,RB,182,2016
2016,12482,Mark Sanchez,,QB,,FA
2018,15873,Markus Wheaton,John/Zach,WR,25,2016
2016,15839,Marqise Goodwin,,WR,,FA
2016,16787,Marqise Lee,Quinn,WR,2,FA
2016,16023,Marquess Wilson,Quinn,WR,1,FA
2016,10456,Marshawn Lynch,Mitch,RB,1,FA
2018,16886,Martavis Bryant,Patrick,WR,1,2016
2017,11295,Martellus Bennett,Syed/Terence,TE,25,2015
2016,15072,Marvin Jones,Schex/Jeff,WR,1,2014
2016,10636,Mason Crosby,Quinn,K,1,2014
2016,14023,Mason Foster,John/Zach,LB,1,FA
2016,14360,Matt Asiata,Quinn,RB,29,FA
2016,15948,Matt Barkley,Daniel,QB,14,FA
2016,4333,Matt Bryant,Patrick,K,2,FA
2016,11278,Matt Forte,John/Zach,RB,120,2016
2017,17695,Matt Jones,Syed/Terence,RB,14,2015
2018,11128,Matt Moore,Koci/Mueller,QB,1,2016
2016,11122,Matt Prater,Keyon,K,1,FA
2017,11237,Matt Ryan,Daniel,QB,110,2015
2018,12483,Matthew Stafford,Patrick,QB,75,2016
2017,17660,Maxx Williams,Trevor,TE,8,2015
2017,17586,Melvin Gordon,Patrick,RB,27,2015
2016,14926,Melvin Ingram,James,LB,1,FA
2016,15960,Micah Hyde,,DB,,FA
2017,12762,Michael Bennett (SEA),Trevor,DL,7,2016
2017,12563,Michael Crabtree,Trevor,WR,27,2016
2016,14908,Michael Floyd,,WR,,FA
2016,17964,Michael Thomas (LA),,WR,,FA
2018,17834,Michael Thomas (NO),Brett/Luke,WR,17,2016
2016,14859,Michael Wilhoite,,LB,,FA
2016,17700,Mike Davis,,RB,,FA
2016,16737,Mike Evans,Mitch,WR,19,2014
2016,15952,Mike Gillislee,Mitch,RB,2,FA
2016,8461,Mike Nugent,,K,,FA
2017,12601,Mike Wallace,Daniel,WR,30,2015
2017,14922,Mohamed Sanu,Mitch,WR,20,2016
2018,13264,Morgan Burnett,Schex/Jeff,DB,1,2016
2016,13985,Muhammad Wilkerson,Koci/Mueller,DL,1,2014
2018,17823,Myles Jack,Mitch,LB,1,2016
2017,13262,NaVorro Bowman,Koci/Mueller,LB,5,2015
2016,13234,Ndamukong Suh,Schex/Jeff,DL,1,FA
2017,17668,Nelson Agholor,Brett/Luke,WR,17,2015
2016,14471,Nick Bellore,Schex/Jeff,LB,1,FA
2016,14877,Nick Foles,James,QB,1,FA
2016,17889,Nick Kwiatkoski,,LB,,FA
2016,9329,Nick Novak,John/Zach,K,1,FA
2018,17873,Nick Vannett,Brett/Luke,TE,2,2016
2016,15075,Nigel Bradham,,LB,,FA
2018,17826,Noah Spence,Brett/Luke,DL,1,2016
2016,16733,Odell Beckham Jr.,John/Zach,WR,10,2014
2016,14982,Olivier Vernon,Keyon,DL,1,FA
2016,17208,Orleans Darkwa,,RB,,FA
2016,17453,Owa Odighizuwa,,DL,,FA
2016,9684,Owen Daniels,,TE,,FA
2017,13980,Patrick Peterson,Brett/Luke,DB,1,2016
2018,17918,Paul Perkins,Schex/Jeff,RB,13,2016
2016,10478,Paul Posluszny,Patrick,LB,25,2016
2016,16781,Paul Richardson,Brett/Luke,WR,2,2014
2018,17814,Paxton Lynch,Keyon,QB,32,2016
2016,18106,Peyton Barber,,RB,,FA
2018,17893,Pharoh Cooper,Keyon,WR,5,2016
2017,5529,Philip Rivers,Keyon,QB,165,2016
2017,17643,Phillip Dorsett,Mitch,WR,17,2015
2016,11439,Pierre Garcon,Trevor,WR,10,2016
2016,16762,Preston Brown,James,LB,1,FA
2016,17758,Quincy Enunwa,Syed/Terence,WR,7,FA
2016,17641,Ramik Wilson,Schex/Jeff,LB,27,FA
2016,14053,Randall Cobb,,WR,,FA
2016,17601,Rashad Greene,,WR,,FA
2016,12503,Rashad Jennings,Quinn,RB,74,2016
2016,17934,Rashard Higgins,,WR,,FA
2016,11289,Ray Rice,,RB,,FA
2016,9588,Reggie Bush,Patrick,RB,11,2016
2018,10465,Reggie Nelson,James,DB,5,2016
2017,13395,Reshad Jones,Daniel,DB,10,2015
2016,15971,Rex Burkhead,Syed/Terence,RB,2,FA
2016,17890,Ricardo Louis,Quinn,WR,1,2016
2016,16786,Richard Rodgers,,TE,,FA
2016,15102,Rishard Matthews,James,WR,1,FA
2018,13229,Rob Gronkowski,John/Zach,TE,200,2016
2016,9721,Rob Ninkovich,,DL,,FA
2016,9354,Robbie Gould,,K,,FA
2016,18097,Robby Anderson,Syed/Terence,WR,2,FA
2016,14875,Robert Griffin III,Koci/Mueller,QB,1,FA
2016,18078,Robert Kelley,Brett/Luke,RB,1,FA
